feature,coefficient,absolute_coefficient,odds_ratio
ORGANIZATION_TYPE_Police,-0.29782027422770585,0.29782027422770585,0.7424347624187226
OCCUPATION_TYPE_Managers,0.2917670737454344,0.2917670737454344,1.3387911417123735
ORGANIZATION_TYPE_Industry: type 9,-0.2832991418430441,0.2832991418430441,0.7532944122729216
NAME_FAMILY_STATUS_Widow,-0.27397753759459187,0.27397753759459187,0.7603491543400193
OCCUPATION_TYPE_IT staff,0.26351815419445496,0.26351815419445496,1.3015009224280034
TOTAL_MISSING_COUNT,-0.2607207384867736,0.2607207384867736,0.7704960594690426
OCCUPATION_TYPE_Waiters/barmen staff,0.26045737087900206,0.26045737087900206,1.2975234003913816
OCCUPATION_TYPE_Cooking staff,0.25331687945632364,0.25331687945632364,1.28829144525388
ORGANIZATION_TYPE_School,-0.2502497561411942,0.2502497561411942,0.7786062970811122
ORGANIZATION_TYPE_Construction,0.24863552555824356,0.24863552555824356,1.2822745915738045
OCCUPATION_TYPE_Secretaries,0.24754140119634693,0.24754140119634693,1.280872390935344
NAME_INCOME_TYPE_Working,-0.2303450756584151,0.2303450756584151,0.7942594755972987
EXT_SOURCE_1,-0.21394223942610754,0.21394223942610754,0.8073950192755291
NAME_CONTRACT_TYPE_Revolving loans,-0.21019896699932553,0.21019896699932553,0.8104229824986524
NAME_EDUCATION_TYPE_Higher education,0.20669300377924793,0.20669300377924793,1.229605029734581
OCCUPATION_TYPE_Cleaning staff,0.2061769899184471,0.2061769899184471,1.2289707001714263
ORGANIZATION_TYPE_Industry: type 2,-0.20522149757099786,0.20522149757099786,0.814466893991911
ORGANIZATION_TYPE_University,-0.20418291354173407,0.20418291354173407,0.8153132257176068
FLAG_OWN_CAR_Y,-0.18671829310782365,0.18671829310782365,0.8296774293175255
OCCUPATION_TYPE_Medicine staff,0.18159095657232593,0.18159095657232593,1.1991235999220746
OCCUPATION_TYPE_Sales staff,0.18079387943912437,0.18079387943912437,1.198168186740278
ORGANIZATION_TYPE_Kindergarten,-0.18001858925633246,0.18001858925633246,0.8352546845035225
GOODS_CREDIT_RATIO,-0.16451899278124793,0.16451899278124793,0.8483016451837572
OCCUPATION_TYPE_Core staff,0.15719413594793938,0.15719413594793938,1.1702227741577755
ORGANIZATION_TYPE_Cleaning,0.15200845546036976,0.15200845546036976,1.1641700799844714
NAME_HOUSING_TYPE_House / apartment,-0.14932254787637741,0.14932254787637741,0.8612912624233672
REGION_RATING_CLIENT_W_CITY,0.14594980386295764,0.14594980386295764,1.1571381027301975
ORGANIZATION_TYPE_Services,-0.1445667471866651,0.1445667471866651,0.8653971476503572
OCCUPATION_TYPE_High skill tech staff,0.14172999829712724,0.14172999829712724,1.1522654928873766
ANNUITY_INCOME_RATIO,0.14136120230005064,0.14136120230005064,1.1518406203364937
OCCUPATION_TYPE_Realty agents,0.14078722261331622,0.14078722261331622,1.1511796769202585
ORGANIZATION_TYPE_Insurance,-0.1405133386743874,0.1405133386743874,0.8689120747202417
NAME_FAMILY_STATUS_Married,-0.14016673551287015,0.14016673551287015,0.8692132945912845
ORGANIZATION_TYPE_Industry: type 7,-0.13841874157886036,0.13841874157886036,0.8707340028648013
ORGANIZATION_TYPE_Emergency,-0.1379875420481303,0.1379875420481303,0.8711095439189717
ORGANIZATION_TYPE_Government,-0.1372159415669889,0.1372159415669889,0.8717819518439648
missingindicator_EMPLOYMENT_YEARS,0.1369531853884324,0.1369531853884324,1.1467744614627695
missingindicator_EMPLOYMENT_AGE_RATIO,0.1369531853884324,0.1369531853884324,1.1467744614627695
DAYS_EMPLOYED_SPECIAL_FLAG,0.1369531853884324,0.1369531853884324,1.1467744614627695
NAME_FAMILY_STATUS_Separated,-0.13581199038168593,0.13581199038168593,0.873006750726322
